seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
152,44802831480,44802982280,150800,18360,3440,3600,13080,23080,26680,27800,64880,-3440,ok
153,44803083240,44803233520,150280,18280,3440,3640,12920,23520,27160,27560,64360,-3440,ok
154,44803334400,44803486560,152160,18520,3480,3640,13160,24000,27640,28000,64840,-3480,ok
155,44803587240,44803738160,150920,18200,3440,3600,13040,23760,27360,27640,64680,-3440,ok
156,44803871160,44804071400,200240,19360,3600,3720,13320,24640,28360,27320,111920,-3640,ok
157,44804175800,44804328360,152560,18320,3560,3720,12720,24520,28240,27800,65520,-3600,ok
158,44804430560,44804583880,153320,18920,3560,3720,13200,24240,27960,28720,64520,-3560,ok
159,44804684600,44804836360,151760,18440,3600,3720,12840,24360,28080,27840,64520,-3560,ok
160,44804937360,44805087840,150480,18600,3600,3720,13280,22720,26440,27960,64200,-3600,ok
161,44805188520,44805339440,150920,18400,3600,3720,12920,23240,26960,27920,64720,-3600,ok
162,44805440040,44805592320,152280,18520,3560,3720,13200,23960,27680,28200,64680,-3560,ok
163,44805693240,44805845120,151880,18440,3600,3760,13000,23720,27480,27880,65080,-3600,ok
164,44805946160,44806097640,151480,18440,3640,3720,13400,23000,26720,28000,64880,-3600,ok
165,44806198320,44806349200,150880,18320,3560,3720,12920,23360,27080,27880,64680,-3560,ok
166,44806450040,44806603200,153160,18320,3600,3720,13200,23120,26840,28600,66160,-3560,ok
167,44806738240,44806892200,153960,19160,3600,3720,12800,25080,28800,28160,65040,-3600,ok
168,44806993880,44807144960,151080,18720,3600,3800,12800,23080,26880,27600,65080,-3600,ok
169,44807245040,44807395840,150800,18000,3600,3760,13280,23400,27160,27880,64480,-3600,ok
170,44807496000,44807649200,153200,18240,3640,3800,13320,22800,26600,28280,66760,-3640,ok
171,44807749520,44807901560,152040,18040,3680,3840,13680,23400,27240,27920,65160,-3680,ok
172,44808052640,44808205320,152680,20800,3320,3600,13160,21040,24640,27840,66200,-3280,ok
173,44808308360,44808459000,150640,18160,3440,3600,13240,23080,26680,27680,64880,-3440,ok
174,44808559960,44808713440,153480,18080,3440,3560,13200,23000,26560,28360,67280,-3440,ok
175,44808813480,44808963680,150200,17600,3440,3600,13320,23320,26920,27760,64640,-3480,ok
176,44809063240,44809213960,150720,18080,3480,3640,13000,23160,26800,27720,65160,-3520,ok
177,44809313600,44809463520,149920,18000,3440,3600,13640,22520,26120,27680,64480,-3440,ok
178,44809563160,44809716120,152960,18160,3520,3640,12960,23040,26680,27760,67400,-3520,ok
179,44809850480,44810004120,153640,18400,3600,3720,13040,25120,28840,28000,65320,-3560,ok
180,44810104840,44810254920,150080,18240,3600,3720,13280,22800,26520,27840,64200,-3600,ok
181,44810354080,44810503640,149560,17800,3600,3720,13320,22400,26120,27680,64600,-3560,ok
182,44810602400,44810754400,152000,17760,3600,3760,13040,23280,27040,27920,66240,-3600,ok
183,44810854040,44811004480,150440,17680,3640,3760,13840,22960,26720,27640,64560,-3640,ok
184,44811104040,44811254680,150640,18240,3600,3760,13120,23120,26880,27800,64600,-3600,ok
185,44811354560,44811504240,149680,17720,3600,3720,13640,22480,26200,27680,64440,-3600,ok
186,44811603880,44811753480,149600,17680,3640,3760,13240,22880,26640,27840,64160,-3600,ok
187,44811852520,44812049920,197400,17480,3640,3800,13240,24080,27880,28440,110400,-3680,ok
188,44812154520,44812308360,153840,17840,3520,3720,13480,24320,28040,28240,66240,-3520,ok
189,44812409840,44812561600,151760,18560,3560,3720,13360,22800,26520,28240,65080,-3560,ok
190,44812731640,44812891800,160160,20880,3760,3920,13200,25600,29520,29080,67480,-3760,ok
