seq,payload_len,total_len,t0_ns,t1_ns,rtt_ns,rtt_adj_ns,clock_overhead_ns,remote_turnaround_ns,rx_len,status
368,4,4,4257565070600,4257565226880,156280,155320,960,0,4,ok
369,4,4,4257565241440,4257565397400,155960,155000,960,0,4,ok
370,4,4,4257565411800,4257565569800,158000,157040,960,0,4,ok
371,4,4,4257565584280,4257565740600,156320,155360,960,0,4,ok
372,4,4,4257565755160,4257565911160,156000,155040,960,0,4,ok
373,4,4,4257565925720,4257566081640,155920,154960,960,0,4,ok
374,4,4,4257566096120,4257566251600,155480,154520,960,0,4,ok
375,4,4,4257566266160,4257566421760,155600,154640,960,0,4,ok
376,4,4,4257566436360,4257566593440,157080,156120,960,0,4,ok
377,4,4,4257566607920,4257566764480,156560,155600,960,0,4,ok
378,4,4,4257566778920,4257566934320,155400,154440,960,0,4,ok
379,4,4,4257566948840,4257567104680,155840,154880,960,0,4,ok
380,4,4,4257567119360,4257567275000,155640,154680,960,0,4,ok
381,4,4,4257567321640,4257567487520,165880,164920,960,0,4,ok
382,4,4,4257567502320,4257567661480,159160,158200,960,0,4,ok
383,4,4,4257567676120,4257567833120,157000,156040,960,0,4,ok
384,4,4,4257567847680,4257568050600,202920,201960,960,0,4,ok
385,4,4,4257568066600,4257568229360,162760,161800,960,0,4,ok
386,4,4,4257568243920,4257568398240,154320,153360,960,0,4,ok
387,4,4,4257568412760,4257568568240,155480,154520,960,0,4,ok
388,4,4,4257568582840,4257568740000,157160,156200,960,0,4,ok
389,4,4,4257568754600,4257568909920,155320,154360,960,0,4,ok
390,4,4,4257568924560,4257569079000,154440,153480,960,0,4,ok
391,4,4,4257569093360,4257569248000,154640,153680,960,0,4,ok
392,4,4,4257569262560,4257569418000,155440,154480,960,0,4,ok
393,4,4,4257569432680,4257569587440,154760,153800,960,0,4,ok
394,4,4,4257569602080,4257569758600,156520,155560,960,0,4,ok
395,4,4,4257569773000,4257569928000,155000,154040,960,0,4,ok
396,4,4,4257569942560,4257570097440,154880,153920,960,0,4,ok
397,4,4,4257570112120,4257570266440,154320,153360,960,0,4,ok
398,4,4,4257570317400,4257570482720,165320,164360,960,0,4,ok
399,4,4,4257570497480,4257570652240,154760,153800,960,0,4,ok
400,4,4,4257570666960,4257570824240,157280,156320,960,0,4,ok
401,4,4,4257570839000,4257570994680,155680,154720,960,0,4,ok
402,4,4,4257571009360,4257571163360,154000,153040,960,0,4,ok
403,4,4,4257571177840,4257571332840,155000,154040,960,0,4,ok
404,4,4,4257571347320,4257571502160,154840,153880,960,0,4,ok
405,4,4,4257571516720,4257571671680,154960,154000,960,0,4,ok
406,4,4,4257571686240,4257571842120,155880,154920,960,0,4,ok
407,4,4,4257571856680,4257572055640,198960,198000,960,0,4,ok
408,4,4,4257572070760,4257572231440,160680,159720,960,0,4,ok
409,4,4,4257572246000,4257572401320,155320,154360,960,0,4,ok
410,4,4,4257572416000,4257572570840,154840,153880,960,0,4,ok
411,4,4,4257572585320,4257572740240,154920,153960,960,0,4,ok
412,4,4,4257572754720,4257572912360,157640,156680,960,0,4,ok
413,4,4,4257572926840,4257573082400,155560,154600,960,0,4,ok
414,4,4,4257573097080,4257573251800,154720,153760,960,0,4,ok
415,4,4,4257573332760,4257573504360,171600,170640,960,0,4,ok
416,4,4,4257573519360,4257573674400,155040,154080,960,0,4,ok
417,4,4,4257573689040,4257573843160,154120,153160,960,0,4,ok
418,4,4,4257573857760,4257574014600,156840,155880,960,0,4,ok
419,4,4,4257574029360,4257574184480,155120,154160,960,0,4,ok
420,4,4,4257574199080,4257574354080,155000,154040,960,0,4,ok
