seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
225,44609018880,44609167400,148520,18240,3640,4040,13840,20480,24520,28480,63280,-3480,ok
226,44609267840,44609415520,147680,18240,3720,4080,13720,20240,24320,28080,63200,-3600,ok
227,44609516280,44609664120,147840,18480,3600,3960,14000,19960,23920,28080,63240,-3480,ok
228,44609764840,44609912520,147680,18440,3880,4200,13360,20800,25000,27880,62880,-3760,ok
229,44610013440,44610163680,150240,18400,3600,3920,13560,21840,25760,28680,63680,-3440,ok
230,44610264360,44610413560,149200,18320,3840,4200,13560,21320,25520,28000,63680,-3720,ok
231,44610514440,44610663240,148800,18440,3560,3880,13920,20440,24320,28120,63840,-3400,ok
232,44610763280,44610912640,149360,18600,3720,4040,13760,20960,25000,28360,63480,-3560,ok
233,44611013480,44611163440,149960,18200,3560,3960,13480,21800,25760,29080,63280,-3400,ok
234,44611263800,44611412000,148200,18120,3760,4080,13840,20720,24800,28280,63040,-3640,ok
235,44611512280,44611660200,147920,18440,3560,3920,13560,20680,24600,28160,63040,-3440,ok
236,44611824560,44611982320,157760,21200,3400,3680,13560,25040,28720,29760,64360,-3240,ok
237,44612141760,44612294760,153000,19440,3440,3760,13120,22240,26000,29160,65120,-3280,ok
238,44612396120,44612544240,148120,18120,3760,4080,14200,20160,24240,28600,62800,-3600,ok
239,44612644880,44612792960,148080,17960,3560,4000,12800,21360,25360,28200,63600,-3400,ok
240,44612893640,44613043560,149920,20880,3560,4040,13680,20320,24360,28320,62560,-3440,ok
241,44613144600,44613297760,153160,21080,3280,3760,12960,22680,26440,28960,63600,-3160,ok
242,44613399040,44613549720,150680,20880,3400,3880,13520,21120,25000,28400,62760,-3280,ok
243,44613651320,44613801440,150120,20560,3200,3720,13480,20640,24360,28200,63360,-3040,ok
244,44613902080,44614052880,150800,20520,3440,4000,13520,20720,24720,28960,62960,-3320,ok
245,44614153720,44614305840,152120,20880,3240,3720,13640,21800,25520,28600,63360,-3120,ok
246,44614407200,44614557120,149920,20320,3400,3920,13440,20760,24680,28480,62920,-3320,ok
247,44614696680,44614850320,153640,21400,3400,3880,13280,23000,26880,28440,63480,-3240,ok
248,44614953600,44615104080,150480,20760,3240,3760,13920,20360,24120,28560,63000,-3120,ok
249,44615204480,44615355280,150800,20480,3440,3920,13360,21760,25680,28600,62520,-3280,ok
250,44615456040,44615606240,150200,20240,3240,3760,13920,20560,24320,28480,63120,-3120,ok
251,44615706480,44615855840,149360,20560,3400,3880,13320,20960,24840,28280,62240,-3280,ok
252,44615956080,44616150040,193960,20360,3320,3800,13840,22400,26200,65400,68040,-3200,ok
253,44616253600,44616407520,153920,20600,3520,4040,13520,23080,27120,29240,63280,-3360,ok
254,44616508280,44616658800,150520,20520,3200,3760,13600,21120,24880,28640,62760,-3080,ok
255,44616759240,44616910080,150840,20160,3400,3920,13600,21280,25200,28520,63200,-3240,ok
256,44617010200,44617160840,150640,20520,3200,3840,14000,20240,24080,28960,63000,-3120,ok
257,44617261160,44617412840,151680,20280,3440,3920,13920,21360,25280,28680,63400,-3320,ok
258,44617513400,44617664280,150880,20520,3280,3560,14120,20840,24400,28680,62960,-3080,ok
259,44617800560,44617954400,153840,21120,3480,4040,13400,22680,26720,28360,64120,-3360,ok
260,44618056760,44618206760,150000,20360,3240,3800,13840,20560,24360,28360,62960,-3120,ok
261,44618306680,44618458680,152000,20440,3440,3920,13160,22120,26040,28760,63480,-3320,ok
262,44618559360,44618710720,151360,20480,3280,3760,14040,20800,24560,28680,63480,-3160,ok
263,44618810600,44618961160,150560,20200,3400,3880,13160,21240,25120,28400,63520,-3240,ok
264,44619060840,44619212160,151320,20800,3240,3720,14280,20400,24120,28320,63640,-3080,ok
265,44619312840,44619472360,159520,19960,3400,3880,13720,28480,32360,28800,64560,-3280,ok
266,44619572600,44619724760,152160,20560,3240,3720,13480,21760,25480,29160,63360,-3120,ok
267,44619825320,44619976240,150920,20320,3400,3920,13680,21000,24920,28640,63200,-3240,ok
268,44620131440,44620284600,153160,21880,3120,3600,13840,20680,24280,28400,64600,-2960,ok
269,44620385680,44620537560,151880,20280,3400,3920,13160,22520,26440,29200,62640,-3240,ok
270,44620674200,44620829200,155000,21320,3440,3960,13960,23280,27240,28400,63960,-3320,ok
271,44620930840,44621081720,150880,20520,3280,3760,13440,21240,25000,28560,63200,-3120,ok
272,44621181160,44621332440,151280,20840,3400,3880,14240,20480,24360,28360,63320,-3240,ok
273,44621433120,44621585480,152360,20880,3360,3800,13920,21160,24960,29320,63080,-3160,ok
274,44621686160,44621836880,150720,20720,3400,3880,13600,21240,25120,28360,62760,-3240,ok
275,44621937320,44622087560,150240,20560,3240,3760,13840,20400,24160,28480,63040,-3080,ok
276,44622187040,44622337280,150240,20560,3400,3880,13800,20320,24200,28400,63120,-3240,ok
277,44622437640,44622589880,152240,20720,3280,3760,13480,20760,24520,28960,64400,-3120,ok
278,44622689720,44622840520,150800,20600,3360,3920,13360,21360,25280,28680,62760,-3240,ok
279,44622940720,44623090640,149920,20640,3240,3760,13920,20160,23920,28480,62800,-3080,ok
280,44623190040,44623340440,150400,20680,3360,3920,13800,20320,24240,28400,63200,-3280,ok
281,44623502520,44623662320,159800,21960,3120,3680,13000,24840,28520,29920,66240,-2960,ok
282,44623765760,44623917480,151720,20720,3240,3760,14000,21360,25120,28520,63200,-3080,ok
283,44624069160,44624222320,153160,22760,3200,3760,13240,21560,25320,27600,64160,-3120,ok
284,44624323960,44624473880,149920,20360,3200,3840,13480,20520,24360,28520,63120,-3120,ok
285,44624573040,44624725040,152000,20520,3400,3880,13240,21840,25720,28960,63440,-3280,ok
286,44624825560,44624976520,150960,20840,3240,3720,13720,20760,24480,28560,63200,-3080,ok
287,44625075800,44625226120,150320,20560,3400,3920,13160,20840,24760,28440,63280,-3280,ok
288,44625325640,44625476320,150680,20920,3240,3720,14200,20000,23720,28440,63280,-3120,ok
289,44625576160,44625728960,152800,20480,3440,3920,13560,20760,24680,28880,65040,-3280,ok
290,44625828720,44625979520,150800,20880,3200,3720,13120,21480,25200,28760,62680,-3040,ok
291,44626079520,44626228560,149040,20320,3400,3920,13680,20160,24080,28240,62560,-3240,ok
292,44626328320,44626478200,149880,20840,3200,3720,13640,20360,24080,28320,62840,-3040,ok
293,44626615600,44626770920,155320,21480,3440,3880,13520,22480,26360,28880,64920,-3280,ok
294,44626873920,44627024640,150720,20880,3280,3760,14160,20120,23880,28400,63240,-3120,ok
295,44627125400,44627275120,149720,20520,3400,3880,13360,20800,24680,28320,62680,-3240,ok
