seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
151,65816385280,65816554400,169120,18360,3520,3960,12360,27080,31040,39640,67720,-3520,ok
152,65816655320,65816824720,169400,18400,3560,3920,12680,27200,31120,39080,68080,-3520,ok
153,65816925760,65817097160,171400,18160,3600,4000,12640,28800,32800,39960,67880,-3640,ok
154,65817198040,65817367000,168960,18120,3560,4000,12480,27480,31480,39000,67880,-3560,ok
155,65817468280,65817639440,171160,18280,3520,3920,12520,28000,31920,40000,68480,-3560,ok
156,65817778000,65817955000,177000,19560,3960,4280,12000,30960,35240,40560,69600,-3920,ok
157,65818059320,65818230720,171400,18920,3720,4120,12440,28120,32240,39720,68080,-3720,ok
158,65818331840,65818502360,170520,18200,3800,4120,12440,28240,32360,39400,68080,-3760,ok
159,65818602800,65818773080,170280,18480,3680,4040,12640,27640,31680,39400,68080,-3680,ok
160,65818873760,65819045920,172160,18440,3720,4040,12520,29520,33560,39200,68400,-3680,ok
161,65819146760,65819316760,170000,18360,3760,4080,12800,27480,31560,39680,67560,-3720,ok
162,65819417160,65819586560,169400,18200,3720,4040,12200,27840,31880,39200,67880,-3680,ok
163,65819687000,65819857040,170040,18520,3720,4040,12000,28000,32040,39400,68040,-3680,ok
164,65819957400,65820176880,219480,18240,3800,4120,12520,31280,35400,78840,74440,-3760,ok
165,65820279560,65820451520,171960,17480,3480,3840,12480,29200,33040,39640,69360,-3520,ok
166,65820552760,65820722360,169600,17440,3440,3760,12400,27920,31680,39120,68920,-3400,ok
167,65820857400,65821031560,174160,18600,3800,4160,12640,29640,33800,39440,69680,-3800,ok
168,65821134800,65821305240,170440,18280,3760,3920,12440,28160,32080,38880,68600,-3600,ok
169,65821406240,65821576640,170400,17920,3600,3920,12400,28560,32480,39560,68000,-3560,ok
170,65821676840,65821846120,169280,17800,3800,3960,12400,27960,31920,38920,68080,-3640,ok
171,65821946760,65822118960,172200,18120,3560,3920,13000,27640,31560,39200,70320,-3560,ok
172,65822219480,65822389240,169760,17960,3760,3920,12400,28160,32080,38760,68400,-3600,ok
173,65822489960,65822660160,170200,18040,3640,3960,12440,28200,32160,39080,68480,-3640,ok
174,65822760440,65822929920,169480,17840,3720,3920,12800,27840,31760,38680,68200,-3520,ok
175,65823030240,65823202560,172320,18120,3560,3920,12560,28080,32000,40280,69360,-3560,ok
176,65823302640,65823472360,169720,18200,3760,3920,12600,28080,32000,38520,68200,-3560,ok
177,65823573040,65823743880,170840,18400,3560,3920,13000,27960,31880,39000,68560,-3560,ok
178,65823845080,65824139840,294760,18040,3720,3920,13000,27480,31400,38680,193480,-3560,ok
179,65824280840,65824456200,175360,19640,3720,4120,12360,29280,33400,40440,69520,-3720,ok
180,65824561480,65824732160,170680,18400,3600,3720,12960,28320,32040,39480,67800,-3600,ok
181,65824833440,65825003400,169960,17840,3640,4000,12440,28840,32840,38840,68000,-3640,ok
182,65825104640,65825275160,170520,17560,3600,3920,12400,28360,32280,39240,69000,-3560,ok
183,65825376600,65825545400,168800,17680,3560,3960,12960,28080,32040,38400,67760,-3600,ok
184,65825646280,65825814640,168360,17760,3640,4000,12680,27720,31720,38880,67280,-3600,ok
185,65825915600,65826093040,177440,17760,3560,3920,12600,28440,32360,38400,76320,-3560,ok
186,65826193480,65826364400,170920,17800,3480,3800,12800,27880,31680,40280,68360,-3480,ok
187,65826465320,65826634760,169440,18040,3400,3720,12600,28200,31920,38720,68160,-3400,ok
188,65826736440,65826906120,169680,17880,3400,3760,13200,27680,31440,39160,68040,-3440,ok
189,65827007160,65827175960,168800,17880,3400,3760,12400,28240,32000,38680,67840,-3400,ok
190,65827341280,65827522000,180720,19280,3680,4000,13360,32760,36760,40280,71040,-3680,ok
191,65827627480,65827799840,172360,19000,3520,3880,12800,28960,32840,38920,68800,-3520,ok
192,65827901080,65828126360,225280,18280,3560,3840,13000,27400,31240,87200,75520,-3520,ok
193,65828229480,65828403000,173520,17600,3520,3880,12880,28400,32280,39240,71520,-3520,ok
194,65828505440,65828675440,170000,17880,3640,3960,12920,28040,32000,38120,69080,-3640,ok
195,65828776560,65828946680,170120,17360,3520,3920,12440,28080,32000,38720,69600,-3520,ok
196,65829047600,65829217680,170080,17560,3600,3920,12880,27840,31760,38360,69480,-3560,ok
197,65829318640,65829490320,171680,17600,3600,3960,12000,29000,32960,39760,69360,-3600,ok
198,65829590920,65829760080,169160,17640,3560,3680,12920,27680,31360,38480,68720,-3520,ok
199,65829860680,65830030280,169600,17600,3520,3880,12360,28400,32280,38480,68880,-3520,ok
200,65830130720,65830300320,169600,17760,3600,4000,12760,27520,31520,38360,69240,-3640,ok
201,65830401360,65830572920,171560,17560,3520,3880,12400,28640,32520,39800,69320,-3560,ok
202,65830711560,65830886840,175280,19720,3720,4120,12680,30120,34240,39000,69640,-3720,ok
203,65830991960,65831162320,170360,18560,3600,3960,12840,27640,31600,38840,68520,-3600,ok
204,65831263400,65831433520,170120,18440,3560,3960,12520,28320,32280,38360,68520,-3560,ok
205,65831534920,65831705800,170880,18280,3520,3920,12360,29600,33520,38680,68040,-3520,ok
206,65831806800,65831976880,170080,18400,3520,3880,12520,28680,32560,38320,68280,-3520,ok
207,65832143280,65832317440,174160,19480,3520,3880,12880,28800,32680,39400,69720,-3520,ok
208,65832419720,65832591480,171760,18720,3560,3920,12600,27320,31240,39440,69800,-3600,ok
209,65832692600,65832862680,170080,18160,3520,3920,13040,27520,31440,39160,68280,-3520,ok
210,65832963400,65833132680,169280,18080,3560,3880,12600,27560,31440,38920,68200,-3520,ok
211,65833233120,65833402480,169360,18120,3600,3960,13000,26920,30880,39080,68280,-3600,ok
212,65833503120,65833674480,171360,18440,3560,3920,12280,28040,31960,39000,69680,-3560,ok
213,65833811920,65833986040,174120,19320,3800,4160,12960,29760,33920,39400,68520,-3800,ok
214,65834089880,65834259600,169720,18440,3560,3880,12600,27880,31760,38960,67920,-3520,ok
215,65834360440,65834531080,170640,18160,3520,3920,12880,27560,31480,39920,68240,-3560,ok
216,65834632040,65834803760,171720,18440,3520,3920,12040,29920,33840,39400,68000,-3520,ok
217,65834904720,65835074840,170120,18080,3600,3960,12920,27800,31760,39320,68080,-3640,ok
218,65835175880,65835345160,169280,18240,3560,3920,12320,27920,31840,38960,67920,-3560,ok
219,65835446280,65835617080,170800,18240,3560,3960,13040,27760,31720,39400,68400,-3560,ok
220,65835718800,65835890720,171920,18520,3560,3920,12480,29520,33440,39160,68280,-3520,ok
221,65835991960,65836218240,226280,70840,3480,3880,12920,28560,32440,39520,70560,-3480,ok
222,65836321080,65836490160,169080,18360,3560,3880,12880,26720,30600,38880,68360,-3560,ok
223,65836591240,65836762360,171120,18000,3560,3880,13560,26680,30560,39360,69600,-3520,ok
224,65836898800,65837072840,174040,19520,3960,4280,12440,30560,34840,38720,68520,-3960,ok
225,65837176440,65837346440,170000,18440,3880,4080,13160,27440,31520,38920,67800,-3720,ok
226,65837447560,65837617680,170120,18160,3720,4080,12680,28520,32600,38720,67920,-3680,ok
227,65837718600,65837890320,171720,18120,3880,4040,13200,27800,31840,40240,68160,-3720,ok
228,65837991120,65838161680,170560,18320,3760,4120,12640,28680,32800,38560,68240,-3760,ok
229,65838262800,65838433120,170320,18360,3840,4080,13080,27800,31880,38960,67880,-3680,ok
230,65838534080,65838704240,170160,18120,3720,4040,12600,28800,32840,38640,67960,-3720,ok
231,65838805160,65838977600,172440,18080,3960,4160,12960,29720,33880,39040,68320,-3800,ok
232,65839078480,65839248320,169840,18160,3760,4120,12680,28360,32480,38560,67920,-3720,ok
233,65839349360,65839518960,169600,18080,3880,4080,12760,27960,32040,38920,67640,-3720,ok
234,65839619800,65839789520,169720,18000,3720,4080,12200,28800,32880,38640,68000,-3720,ok
235,65839890600,65840117160,226560,18080,3920,4120,13040,29600,33720,39040,122560,-3800,ok
236,65840290080,65840470760,180680,19840,3920,4080,12440,32520,36600,40520,71080,-3720,ok
237,65840577320,65840748680,171360,19000,3600,3960,12760,29000,32960,38440,68200,-3600,ok
238,65840849880,65841020720,170840,18160,3560,3880,13120,27360,31240,39680,68600,-3520,ok
239,65841121400,65841290960,169560,18080,3560,3920,12320,28800,32720,38600,67880,-3600,ok
240,65841391880,65841564200,172320,20480,3520,4040,12480,28440,32480,38360,68560,-3560,ok
241,65841665520,65841836560,171040,20440,3400,3920,12880,27560,31480,38440,67840,-3440,ok
242,65841937280,65842111600,174320,20440,3400,3880,12680,29920,33800,38400,69000,-3400,ok
243,65842212080,65842383280,171200,20480,3400,3920,12440,27800,31720,38440,68120,-3400,ok
244,65842484320,65842655320,171000,20560,3360,3880,12560,27800,31680,38160,68080,-3400,ok
245,65842755840,65842926240,170400,20560,3440,3960,12800,27240,31200,38320,67560,-3480,ok
246,65843027240,65843200960,173720,20640,3400,3880,12640,30120,34000,38320,68120,-3400,ok
247,65843337520,65843512520,175000,21280,3720,4240,12520,29720,33960,39080,68160,-3720,ok
248,65843615440,65843784880,169440,20080,3600,4040,12760,27120,31160,38400,67000,-3560,ok
249,65843886520,65844114760,228240,20280,3560,4040,12840,28200,32240,37880,125000,-3560,ok
250,65844217760,65844392360,174600,20040,3360,3840,12840,28840,32680,39080,69920,-3320,ok
251,65844494680,65844666040,171360,19760,3240,3520,13280,27240,30760,38640,68920,-3240,ok
252,65844766920,65844939200,172280,19840,3280,3760,13000,27560,31320,38680,69440,-3280,ok
253,65845040000,65845213600,173600,19920,3240,3760,12720,27680,31440,38800,70760,-3280,ok
254,65845314920,65845486920,172000,19800,3240,3720,12600,27960,31680,38440,69440,-3200,ok
255,65845587440,65845759080,171640,19720,3240,3760,13080,27000,30760,38800,69280,-3240,ok
256,65845860440,65846031560,171120,19880,3240,3720,12720,27520,31240,38400,68880,-3240,ok
257,65846132640,65846306720,174080,19720,3280,3800,13120,28800,32600,39160,69480,-3280,ok
258,65846408320,65846580120,171800,19840,3240,3720,12640,27960,31680,38280,69320,-3200,ok
259,65846717160,65846893880,176720,21160,3600,4080,12800,29560,33640,39160,69960,-3600,ok
260,65846997560,65847169080,171520,20080,3400,3880,12680,27520,31400,38680,68680,-3400,ok
261,65847270680,65847446000,175320,20160,3360,3880,12400,30240,34120,39320,69320,-3360,ok
262,65847547920,65847719920,172000,19920,3440,3920,12880,27720,31640,38840,68720,-3440,ok
263,65847821400,65847993040,171640,19920,3440,3880,12960,26960,30840,38840,69040,-3400,ok
264,65848145440,65848321520,176080,21440,3280,4000,12840,27080,31080,39000,71720,-3280,ok
265,65848424840,65848597520,172680,20680,3320,3920,12840,27640,31560,39120,68480,-3320,ok
266,65848698440,65848868840,170400,20240,3240,3880,12680,27000,30880,38520,68080,-3240,ok
267,65848970200,65849141920,171720,20280,3280,3920,12720,27440,31360,39040,68320,-3280,ok
268,65849243560,65849416880,173320,20360,3240,3880,12800,27200,31080,39960,69160,-3280,ok
269,65849518000,65849689560,171560,20480,3280,3720,13240,27120,30840,39120,67880,-3280,ok
270,65849826840,65850002360,175520,21760,3720,4360,12560,30040,34400,38920,67880,-3720,ok
271,65850106120,65850278200,172080,19840,3440,4080,13600,26240,30320,39360,68960,-3440,ok
272,65850379400,65850553480,174080,20200,3440,4080,13200,28680,32760,39240,68680,-3440,ok
