seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
217,192222397000,192222566280,169280,17440,3840,3800,13000,28400,32200,38160,68320,-3680,ok
218,192222667520,192222839960,172440,17560,3800,3720,12680,30880,34600,38600,68840,-3640,ok
219,192222941680,192223112520,170840,17360,3880,3840,13120,28880,32720,38400,69080,-3720,ok
220,192223248160,192223424320,176160,18160,3760,3760,12760,31080,34840,39520,70720,-3600,ok
221,192223528600,192223700440,171840,18400,3680,3480,13520,28560,32040,38760,69000,-3560,ok
222,192223802280,192223976040,173760,18080,3760,3720,12800,31200,34920,38960,68800,-3560,ok
223,192224135120,192224319360,184240,17880,3840,3760,13320,37800,41560,39760,71520,-3640,ok
224,192224423520,192224595920,172400,18200,3760,3760,12480,29880,33640,39040,68880,-3600,ok
225,192224698120,192224870400,172280,17800,3800,3760,13240,28520,32280,40040,68720,-3600,ok
226,192224972480,192225143800,171320,17680,3800,3720,12760,29520,33240,38720,68720,-3600,ok
227,192225245800,192225416120,170320,17560,3840,3800,13440,28280,32080,38640,68440,-3680,ok
228,192225518160,192225688600,170440,17920,3760,3760,12520,29280,33040,38560,68280,-3640,ok
229,192225790200,192225962760,172560,17720,3800,3760,13360,30200,33960,38680,68640,-3600,ok
230,192226064640,192226235280,170640,17520,3760,3720,12600,29680,33400,38680,68280,-3600,ok
231,192226403960,192226582680,178720,19080,3800,3760,13000,32480,36240,39040,71200,-3640,ok
232,192226689320,192226859960,170640,18360,3560,3520,12560,29240,32760,38920,67880,-3400,ok
233,192226962240,192227135440,173200,17760,3680,3800,12920,31320,35120,38520,68680,-3480,ok
234,192227238280,192227409360,171080,17960,3800,3720,12720,29480,33200,38800,68200,-3600,ok
235,192227512280,192227683360,171080,17800,3800,3760,13200,29040,32800,38880,68240,-3640,ok
236,192227786000,192227958920,172920,18040,3840,3800,12560,29440,33240,39080,69800,-3640,ok
237,192228116080,192228289760,173680,18280,3800,3760,12760,29520,33280,39120,70080,-3640,ok
238,192228393960,192228564000,170040,17920,3600,3600,13080,28560,32160,38960,67760,-3440,ok
239,192228666880,192228837320,170440,17720,3800,3760,12480,29360,33120,38960,68000,-3640,ok
240,192228940240,192229115280,175040,20120,3680,3800,12560,30800,34600,38800,68800,-3520,ok
241,192229219120,192229390960,171840,19880,3640,3720,12600,28720,32440,38720,68040,-3480,ok
242,192229531320,192229710360,179040,20240,3600,3760,12640,31920,35680,39880,70440,-3440,ok
243,192229815960,192229988520,172560,20320,3520,3640,12360,28680,32320,39040,68320,-3320,ok
244,192230090960,192230266120,175160,20000,3600,3760,12720,30800,34560,38840,68880,-3440,ok
245,192230368760,192230541480,172720,20240,3680,3760,12800,28880,32640,39080,67760,-3480,ok
246,192230643840,192230816080,172240,19960,3640,3800,12640,28640,32440,39080,67960,-3480,ok
247,192230918400,192231092280,173880,20040,3720,3800,12920,28480,32280,39040,69440,-3560,ok
248,192231194560,192231368040,173480,20400,3640,3720,12560,29600,33320,38880,68160,-3480,ok
249,192231471240,192231643280,172040,19920,3640,3800,12920,28640,32440,38680,67920,-3480,ok
250,192231746040,192231917440,171400,19880,3600,3760,12880,28280,32040,38680,67760,-3440,ok
251,192232071440,192232249560,178120,21680,3640,3720,12920,30320,34040,39480,69800,-3440,ok
252,192232353960,192232525400,171440,19880,3440,3600,13120,28640,32240,38200,67840,-3280,ok
253,192232662960,192232842600,179640,20560,3960,4080,13000,31920,36000,39720,70160,-3760,ok
254,192232948560,192233121400,172840,20280,3520,3680,12720,29360,33040,38760,67920,-3400,ok
255,192233223720,192233399560,175840,19960,3720,3800,13360,30800,34600,38520,69200,-3520,ok
256,192233501960,192233675120,173160,19880,3600,3720,12800,29800,33520,38680,68080,-3400,ok
257,192233777960,192233950240,172280,19800,3720,3800,13280,28200,32000,38680,68360,-3560,ok
258,192234052840,192234226760,173920,19760,3640,3760,12680,29480,33240,38720,69360,-3480,ok
259,192234330240,192234503200,172960,19920,3640,3800,13160,29000,32800,38520,68400,-3480,ok
260,192234606320,192234777760,171440,19880,3680,3800,12680,29200,33000,38280,67400,-3480,ok
261,192234881480,192235053480,172000,20040,3680,3760,13000,28680,32440,38400,67880,-3440,ok
262,192235157400,192235330680,173280,19720,3640,3760,12960,29040,32800,38400,69200,-3440,ok
263,192235435080,192235608160,173080,20000,3680,3760,12960,29160,32920,38320,68720,-3520,ok
264,192235743640,192235920960,177320,19920,3640,3720,12840,31400,35120,39840,69440,-3480,ok
265,192236077520,192236256200,178680,21960,3480,3600,12960,29400,33000,39640,70920,-3280,ok
266,192236359680,192236534640,174960,20000,3600,3720,13400,30600,34320,38160,68880,-3400,ok
267,192236637880,192236810600,172720,20200,3680,3800,12800,28840,32640,38600,68360,-3560,ok
268,192236913360,192237085400,172040,20120,3600,3760,12920,28360,32120,38360,68400,-3480,ok
269,192237189040,192237364240,175200,20280,3640,3760,13120,29200,32960,38520,70200,-3520,ok
270,192237467200,192237640360,173160,20160,3640,3760,12920,29120,32880,38680,68360,-3480,ok
271,192237743520,192237916120,172600,20160,3640,3760,13200,28600,32360,38280,68400,-3440,ok
272,192238019200,192238190760,171560,20160,3640,3760,13360,28040,31800,38320,67800,-3520,ok
273,192238294240,192238467440,173200,20200,3720,3800,13080,27960,31760,38400,69600,-3560,ok
274,192238570920,192238744240,173320,20360,3640,3760,12920,29320,33080,37920,68840,-3440,ok
275,192238916200,192239096880,180680,21160,3600,3720,13320,32040,35760,39600,70680,-3440,ok
276,192239205680,192239378560,172880,20240,3360,3640,13200,28080,31720,38920,68600,-3160,ok
277,192239482160,192239658120,175960,19960,3600,3840,12600,30800,34640,38920,69640,-3400,ok
278,192239761360,192239933640,172280,20000,3640,3760,13200,28480,32240,38920,67720,-3440,ok
279,192240090040,192240266400,176360,21160,3400,3680,12880,28480,32160,40080,69920,-3240,ok
280,192240371200,192240544680,173480,19760,3360,3680,12120,29160,32840,38640,69920,-3160,ok
281,192240648400,192240820920,172520,20280,3520,3760,12880,28520,32280,38960,67920,-3320,ok
282,192240923920,192241094920,171000,20040,3520,3800,12440,28280,32080,38320,67960,-3360,ok
283,192241198320,192241369040,170720,20000,3520,3800,12960,27640,31440,38680,67520,-3400,ok
284,192241471880,192241645000,173120,20160,3520,3800,12760,28360,32160,39800,68040,-3320,ok
285,192241749280,192241921880,172600,20280,3560,3800,12800,28280,32080,39120,68160,-3400,ok
286,192242061120,192242239280,178160,20560,3520,3800,12360,31640,35440,39640,69960,-3320,ok
287,192242344360,192242516560,172200,20280,3360,3600,13120,27760,31360,38800,68440,-3160,ok
288,192242619440,192242794920,175480,20120,3520,3760,12440,31280,35040,38920,68760,-3320,ok
289,192242897720,192243071040,173320,19920,3680,3960,12480,29240,33200,38840,68720,-3520,ok
290,192243173480,192243346080,172600,19880,3520,3760,12520,28960,32720,39120,68200,-3360,ok
291,192243449120,192243621600,172480,19880,3680,3960,12640,28800,32760,39040,68040,-3560,ok
292,192243724440,192243899760,175320,19800,3560,3800,12480,31000,34800,38840,69240,-3400,ok
293,192244053200,192244227520,174320,21400,3040,3360,13040,27040,30400,39960,69360,-2880,ok
